Mouse_ID,Group,Sex,Day,Licks,Phase,Day_of_Phase
3,Control,F,R2_3,913,R2,3
4,Control,M,R2_3,806,R2,3
5,ChR2,F,R2_3,709,R2,3
6,ChR2,F,R2_3,802,R2,3
7,ChR2,M,R2_3,938,R2,3
8,ChR2,M,R2_3,141,R2,3
9,ChR2,M,R2_3,533,R2,3
10,ChR2,M,R2_3,559,R2,3
11,ChR2,M,R2_3,680,R2,3
12,Control,M,R2_3,552,R2,3
13,Control,M,R2_3,463,R2,3
14,Control,M,R2_3,634,R2,3
15,Control,F,R2_3,549,R2,3
16,ChR2,M,R2_3,1366,R2,3
17,ChR2,F,R2_3,431,R2,3
18,ChR2,F,R2_3,866,R2,3
19,ChR2,F,R2_3,1249,R2,3
20,ChR2,M,R2_3,472,R2,3
21,ChR2,M,R2_3,990,R2,3
22,Control,F,R2_3,209,R2,3
1,Control,F,R2_4,545,R2,4
2,Control,F,R2_4,564,R2,4
3,Control,F,R2_4,736,R2,4
4,Control,M,R2_4,732,R2,4
5,ChR2,F,R2_4,759,R2,4
6,ChR2,F,R2_4,803,R2,4
7,ChR2,M,R2_4,878,R2,4
8,ChR2,M,R2_4,274,R2,4
9,ChR2,M,R2_4,578,R2,4
10,ChR2,M,R2_4,700,R2,4
11,ChR2,M,R2_4,781,R2,4
12,Control,M,R2_4,537,R2,4
13,Control,M,R2_4,364,R2,4
14,Control,M,R2_4,716,R2,4
15,Control,F,R2_4,696,R2,4
16,ChR2,M,R2_4,942,R2,4
17,ChR2,F,R2_4,521,R2,4
18,ChR2,F,R2_4,880,R2,4
19,ChR2,F,R2_4,1047,R2,4
20,ChR2,M,R2_4,293,R2,4
21,ChR2,M,R2_4,900,R2,4
22,Control,F,R2_4,200,R2,4
